id,source,title,author,pub-year,pub-decade,nation,genre,canonical,Multi-volume,gutenberg_url,ht_bib_key,narr-perspective,subjects,bookshelves,copyright,download_count,authors
unknown,gutenberg,Jane Eyre,"Brontë, Charlotte",1847.0,1840-1849,English,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,The Woman in White,"Collins, Wilkie",1860.0,1860-1869,English,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Frankenstein,"Shelley, Mary",1818.0,1810-1819,English,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Castle Rackrent,"Edgeworth, Maria",1800.0,1800-1809,Anglo-Irish,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Charles O'Malley,"Lever, Charles",1841.0,1840-1849,Irish,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,Uncle Silas,"Le Fanu, Joseph Thomas Sheridan",1864.0,1860-1869,Irish,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Fitz-Boodle's Confessions,"Thackeray, William Makepeace",1843.0,1840-1849,English,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Wuthering Heights,"Brontë, Emily",1847.0,1840-1849,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,The Moonstone,"Collins, Wilkie",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Heart of Darkness,"Conrad, Joseph",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Hound of the Baskervilles,"Conan Doyle, Arthur",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,Mammuth,"Thomson, William",1789.0,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Cranford,"Gaskell, Elizabeth ",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,In-Keeper's Album,"Deacon, William Frederick",1823.0,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,The Sacred Fount,"James, Henry",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,Fleetwood,"Godwin, William",1805.0,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,The Vicar's Daughter,"MacDonald, George",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Peter Simple,"Marryat, Frederick",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Melmoth the Wanderer,"Maturin, Charles",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,The Wild Irish Girl,"Owenson, Sydney",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,The Autobiography of a Thief,"Reade, Charles",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Rob Roy,"Scott, Walter",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,The Exile of Erin,"Gunning, Elizabeth",1808.0,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Treasure Island,"Stevenson, Robert Louis",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,Dracula,"Stoker, Bram",nan,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,Confessions of a Thug,"Taylor, Phillip Meadows",1839.0,nan,nan,nan,nan,nan,nan,nan,1st,,,,,
unknown,hathi,Adventures of an Actor,"Fleury, Abraham Joseph Bénard",1842.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Passages in the Life of Mrs. Margaret Maitland of Sunnyside,"Oliphant, Margaret",1849.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Frank Fairlegh,"Cruikshank, George",1850.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Geordie Purdie in London,"Gorrie, Daniel",1875.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Gentleman Verschoyle,"Lane, Laura",1875.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,"The Fate of Mansfield Humphreys, with Mr. Washington Adams in England","Grant, Richard",1883.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Mary Ogilvie,"Picken, Andrew",1840.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,The Adventures of Sir Frizzle Pumpkin,"White, James",1836.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Arthur Mervyn,"Brown, Charles Brockden",1821.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Corasmin,"Hugh, Murray",1814.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,Modern Gulliver's Travels,"Whitmore, H.",1796.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,The Cottage Fireside,"Duncan, Henry",1815.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,hathi,George the Third,"Mangin, Edward",1807.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
